wavelength_nm,response
411,0.0062411
412,0.01024045
413,0.00402983
414,0.00642179
415,0.00552753
416,0.0065525
417,0.00409887
418,0.006297
419,0.00436742
420,0.00233356
421,0.00058162
422,0.00202276
423,0.00294328
424,0.00485362
425,0.00317041
426,0.00237657
427,0.00234612
428,0.00440152
429,0.01292397
430,0.05001678
431,0.18650104
432,0.45441623
433,0.72307877
434,0.83999211
435,0.86456334
436,0.87472096
437,0.89215296
438,0.91090814
439,0.92588017
440,0.93924094
441,0.94491826
442,0.95078529
443,0.96803023
444,0.99939195
445,1.0
446,0.97548364
447,0.96148351
448,0.94986211
449,0.91841452
450,0.87989802
451,0.80383677
452,0.59752075
453,0.30474132
454,0.10798014
455,0.0304465
456,0.00885119
