wavelength_nm,response
2065,0.00022389
2066,0.00073676
2067,0.00164703
2068,0.00301151
2069,0.00458328
2070,0.00592584
2071,0.00752876
2072,0.00874103
2073,0.01025764
2074,0.01222618
2075,0.01458055
2076,0.01744267
2077,0.02104287
2078,0.02540339
2079,0.03057901
2080,0.03719619
2081,0.04572365
2082,0.05630242
2083,0.06994211
2084,0.08791078
2085,0.11057655
2086,0.13873936
2087,0.17311239
2088,0.21416774
2089,0.26175285
2090,0.31696031
2091,0.38057337
2092,0.44916129
2093,0.52246923
2094,0.59858476
2095,0.67183039
2096,0.73762307
2097,0.79267856
2098,0.83543144
2099,0.86612544
2100,0.88613168
2101,0.89739036
2102,0.90131058
2103,0.90056883
2104,0.89688046
2105,0.89211284
2106,0.88771935
2107,0.88417799
2108,0.88183136
2109,0.88142338
2110,0.88242075
2111,0.88687585
2112,0.89245189
2113,0.89861914
2114,0.90533051
2115,0.91254666
2116,0.91988456
2117,0.92662076
2118,0.93280462
2119,0.9381479
2120,0.94308713
2121,0.94528987
2122,0.94711578
2123,0.94827846
2124,0.94854335
2125,0.94782599
2126,0.94683272
2127,0.94584552
2128,0.94458923
2129,0.94320642
2130,0.94161778
2131,0.94216937
2132,0.94300085
2133,0.94396863
2134,0.94500784
2135,0.94593652
2136,0.94680905
2137,0.94766521
2138,0.94866638
2139,0.94960932
2140,0.95040536
2141,0.95078607
2142,0.95126357
2143,0.95205865
2144,0.9524548
2145,0.95228734
2146,0.95215614
2147,0.95239704
2148,0.95270563
2149,0.95306455
2150,0.9535262
2151,0.95404061
2152,0.9545903
2153,0.95529443
2154,0.95650666
2155,0.95774374
2156,0.95899449
2157,0.96021128
2158,0.96117558
2159,0.96241242
2160,0.96389292
2161,0.9633817
2162,0.96287807
2163,0.96252982
2164,0.96163134
2165,0.96051578
2166,0.95934879
2167,0.95816596
2168,0.95676127
2169,0.95491383
2170,0.95287555
2171,0.95386662
2172,0.95498503
2173,0.9555239
2174,0.95548083
2175,0.9551674
2176,0.95442758
2177,0.95327341
2178,0.95194429
2179,0.95041866
2180,0.9484181
2181,0.94839027
2182,0.94838056
2183,0.94813039
2184,0.94753901
2185,0.94645196
2186,0.94504703
2187,0.9433144
2188,0.94197531
2189,0.94049427
2190,0.93875727
2191,0.94132922
2192,0.9436129
2193,0.94558364
2194,0.94711284
2195,0.94831802
2196,0.94945878
2197,0.95060227
2198,0.95182631
2199,0.95345901
2200,0.95510105
2201,0.95225316
2202,0.95033203
2203,0.94956701
2204,0.94895037
2205,0.94955832
2206,0.95152282
2207,0.95486528
2208,0.95963437
2209,0.96607045
2210,0.97375116
2211,0.97078626
2212,0.96900558
2213,0.96819786
2214,0.96750837
2215,0.9674355
2216,0.96792378
2217,0.96839035
2218,0.96883692
2219,0.9693902
2220,0.96985301
2221,0.96898817
2222,0.96814874
2223,0.96743874
2224,0.96638941
2225,0.96534457
2226,0.96425351
2227,0.96281969
2228,0.96155971
2229,0.96053251
2230,0.95926107
2231,0.95959913
2232,0.96025143
2233,0.96154033
2234,0.96262988
2235,0.96359875
2236,0.96467154
2237,0.9654114
2238,0.96625109
2239,0.96744643
2240,0.96878244
2241,0.97046916
2242,0.97234778
2243,0.97422228
2244,0.9759326
2245,0.97713045
2246,0.97892333
2247,0.98039008
2248,0.98147316
2249,0.98248415
2250,0.9832885
2251,0.98458694
2252,0.9866985
2253,0.98911057
2254,0.99119702
2255,0.99315819
2256,0.99524701
2257,0.99668121
2258,0.99826512
2259,0.99959594
2260,1.0
2261,0.99866374
2262,0.99576531
2263,0.99062502
2264,0.98155399
2265,0.96876193
2266,0.95174168
2267,0.92942389
2268,0.90240499
2269,0.8705554
2270,0.83207693
2271,0.78626172
2272,0.73649625
2273,0.68202115
2274,0.62329799
2275,0.56418429
2276,0.50680538
2277,0.4515209
2278,0.4006232
2279,0.35430248
2280,0.30995212
2281,0.26941268
2282,0.23418861
2283,0.20232924
2284,0.17373524
2285,0.14941215
2286,0.1290062
2287,0.11157271
2288,0.09693492
2289,0.08490613
2290,0.07409041
2291,0.06449244
2292,0.056343
2293,0.0493999
2294,0.04321207
2295,0.03800099
2296,0.03348242
2297,0.02900748
2298,0.0251013
2299,0.02003645
2300,0.01384563
2301,0.00850471
2302,0.00443484
2303,0.00085324
