wavelength_nm,response
646,0.00499358
647,0.02642563
648,0.11905127
649,0.333204
650,0.59813448
651,0.80612041
652,0.91152955
653,0.92179127
654,0.91677167
655,0.90751672
656,0.89867522
657,0.89413622
658,0.89685141
659,0.89933396
660,0.90191681
661,0.90710817
662,0.9164622
663,0.92908702
664,0.9426682
665,0.95591935
666,0.96854537
667,0.98264967
668,0.99231022
669,1.0
670,0.99904114
671,0.99257339
672,0.97943242
673,0.96553214
674,0.95377013
675,0.94146127
676,0.92151286
677,0.89308475
678,0.83539461
679,0.69759082
680,0.49483622
681,0.27886075
682,0.10892715
683,0.03028701
684,0.00747382
685,0.00087148
