wavelength_nm,response
916,0.00013875
917,0.0001435
918,0.00014714
919,0.00015371
920,0.00015933
921,0.00016487
922,0.00017127
923,0.00018156
924,0.00019004
925,0.0002038
926,0.00022179
927,0.00025206
928,0.00030405
929,0.00041011
930,0.00065361
931,0.00128327
932,0.00315857
933,0.00867841
934,0.0240532
935,0.06732782
936,0.17344766
937,0.3814013
938,0.65570918
939,0.88470434
940,0.98771233
941,1.0
942,0.98791293
943,0.9773829
944,0.9665888
945,0.96331198
946,0.9478647
947,0.93778865
948,0.92011679
949,0.90912735
950,0.89506135
951,0.89101283
952,0.87789603
953,0.87233042
954,0.8596733
955,0.83798189
956,0.7727829
957,0.61416142
958,0.37777752
959,0.16169268
960,0.04808435
961,0.01234207
962,0.00356937
963,0.00131164
964,0.00064081
965,0.00039056
966,0.00027663
967,0.00022265
968,0.00019437
969,0.00017733
970,0.00016271
971,0.00015605
972,0.00014887
973,0.00014264
974,0.00013849
975,0.00013511
976,0.00013252
977,0.00012741
978,0.00012387
979,3.442e-05
