wavelength_nm,response
414,0.00182758
415,0.00176219
416,0.00174835
417,0.00177315
418,0.00174166
419,0.00175671
420,0.00171909
421,0.00172996
422,0.00170544
423,0.00163243
424,0.00156834
425,0.00156899
426,0.00149403
427,0.00151818
428,0.00155589
429,0.00159342
430,0.0017176
431,0.00239482
432,0.01343324
433,0.16074943
434,0.56856624
435,0.79337977
436,0.83889418
437,0.8692385
438,0.88238687
439,0.90595802
440,0.92322662
441,0.91765842
442,0.90681059
443,0.89970444
444,0.90902188
445,0.91999798
446,0.93381186
447,0.95270212
448,0.97465774
449,0.99129065
450,0.99845487
451,1.0
452,0.99495166
453,0.92790092
454,0.56505458
455,0.13733275
456,0.01648048
457,0.00322288
458,0.00144285
459,0.00103454
460,0.00087598
461,0.00080781
462,0.00077929
463,0.00076341
464,0.00071158
465,0.00066263
466,0.0006252
467,0.00062659
468,0.00063913
469,0.00063866
470,0.00062919
471,0.00060569
472,0.00055758
473,0.00050213
474,0.00044574
