wavelength_nm,response
678,4.101e-05
679,0.00014092
680,0.0001436
681,0.0001467
682,0.00015586
683,0.00016587
684,0.0001676
685,0.00017598
686,0.00018772
687,0.00019774
688,0.00020914
689,0.00023599
690,0.0002707
691,0.0003207
692,0.00041638
693,0.00061835
694,0.00113162
695,0.00251702
696,0.00729115
697,0.02885108
698,0.11981149
699,0.36581671
700,0.70196487
701,0.92166979
702,0.95458504
703,0.96276758
704,0.97394389
705,0.98106252
706,0.9850639
707,0.98687623
708,0.9882295
709,0.9913515
710,0.996315
711,1.0
712,0.99347856
713,0.92826859
714,0.71421131
715,0.39354093
716,0.13011195
717,0.03416611
718,0.00997587
719,0.0037773
720,0.00178667
721,0.00095926
722,0.00058113
723,0.0004055
724,0.00031656
725,0.00026095
726,0.00022554
727,0.00020309
728,0.00018919
729,0.00018133
730,0.00016916
731,0.00016484
732,0.00015776
733,0.00015189
734,0.00015145
735,0.00015232
736,6.407e-05
