wavelength_nm,response
712,0.00022058
713,0.00024707
714,0.00023011
715,0.00021634
716,0.00021348
717,0.00021271
718,0.00021565
719,0.00022855
720,0.00024439
721,0.00027521
722,0.00031313
723,0.00038369
724,0.00047346
725,0.00062306
726,0.00089975
727,0.00146109
728,0.00270142
729,0.00569305
730,0.01347978
731,0.03971335
732,0.1309495
733,0.37500526
734,0.6938932
735,0.91536384
736,0.96992613
737,0.97077671
738,0.97853869
739,0.98573872
740,0.9906843
741,0.99529959
742,0.99820299
743,0.99979525
744,1.0
745,0.99699651
746,0.98233102
747,0.91133153
748,0.70439314
749,0.39898195
750,0.16095298
751,0.05482391
752,0.01952492
753,0.00789131
754,0.0039041
755,0.00222423
756,0.00135738
757,0.00090122
758,0.00064029
759,0.00050039
760,0.00041252
761,0.0003488
762,0.00030239
763,0.0002798
764,0.00026266
765,0.00026084
766,0.00025279
767,0.00025902
768,0.00028015
769,0.0003056
770,0.00033711
