wavelength_nm,response
630,0.00072495
631,0.00067953
632,0.00055633
633,0.00044453
634,0.00038798
635,0.00036298
636,0.00036151
637,0.0003695
638,0.00039185
639,0.00043727
640,0.00049592
641,0.00059393
642,0.00076071
643,0.00104977
644,0.00157623
645,0.00248616
646,0.00447622
647,0.00954832
648,0.02403303
649,0.06759162
650,0.17739783
651,0.41429503
652,0.73522461
653,0.92808255
654,0.96462147
655,0.96480885
656,0.96204362
657,0.95539632
658,0.94765049
659,0.94241519
660,0.93945425
661,0.93887659
662,0.94088614
663,0.9446717
664,0.95148654
665,0.95881145
666,0.96570839
667,0.97126869
668,0.97615516
669,0.98197906
670,0.98850481
671,0.99518579
672,0.99956988
673,1.0
674,0.99759436
675,0.99338082
676,0.98592818
677,0.97236683
678,0.9529575
679,0.92344847
680,0.85543935
681,0.68821494
682,0.4182541
683,0.18824224
684,0.07465708
685,0.03282836
686,0.01528275
687,0.00761471
688,0.00415471
689,0.00250253
690,0.00167378
691,0.00117426
692,0.00085817
693,0.00066068
694,0.00053252
695,0.00045262
696,0.00039405
697,0.00034974
698,0.00031701
699,0.00029853
700,0.0002817
701,0.00027444
702,0.00027251
703,0.00027435
