wavelength_nm,response
753,7.271e-05
754,0.00011542
755,0.00011986
756,0.00012656
757,0.0001343
758,0.00014465
759,0.00015352
760,0.00016701
761,0.00018719
762,0.0002152
763,0.0002526
764,0.00031053
765,0.00040091
766,0.00055487
767,0.00086045
768,0.00150414
769,0.00289146
770,0.00614148
771,0.01554386
772,0.04522845
773,0.13593039
774,0.32272011
775,0.5961228
776,0.86401951
777,0.9845145
778,1.0
779,0.99494539
780,0.9894194
781,0.98314144
782,0.97735208
783,0.97239496
784,0.96827805
785,0.96417498
786,0.95944212
787,0.95459688
788,0.94991561
789,0.94576626
790,0.94129427
791,0.93533718
792,0.92162748
793,0.86449009
794,0.71753314
795,0.48026872
796,0.23076159
797,0.08372818
798,0.02880142
799,0.01221512
800,0.00580146
801,0.00292678
802,0.001608
803,0.00096909
804,0.0006549
805,0.00047519
806,0.00036438
807,0.00029496
808,0.00024486
809,0.0002132
810,0.00018814
811,0.0001697
812,0.00015813
813,0.00014978
814,0.00014039
815,0.00013908
816,0.00013326
