wavelength_nm,response
1540,0.00063023
1541,0.00100463
1542,0.00196525
1543,0.00240298
1544,0.00272575
1545,0.00312943
1546,0.00364321
1547,0.0042998
1548,0.00508372
1549,0.00609957
1550,0.00739694
1551,0.0090523
1552,0.0112893
1553,0.01432361
1554,0.01836514
1555,0.02391328
1556,0.03166973
1557,0.04211646
1558,0.05579418
1559,0.07389411
1560,0.0984327
1561,0.13052134
1562,0.17317717
1563,0.22901102
1564,0.29772846
1565,0.38018302
1566,0.47455504
1567,0.57153183
1568,0.66205574
1569,0.74154084
1570,0.80883048
1571,0.85950395
1572,0.89593221
1573,0.91975281
1574,0.93339197
1575,0.94042305
1576,0.94342982
1577,0.94455544
1578,0.94510009
1579,0.94559295
1580,0.9463153
1581,0.94741498
1582,0.94864592
1583,0.95008023
1584,0.95167219
1585,0.95313838
1586,0.95458878
1587,0.95600061
1588,0.95726335
1589,0.95850909
1590,0.959815
1591,0.9609206
1592,0.9620089
1593,0.9632344
1594,0.96443113
1595,0.96558961
1596,0.96683864
1597,0.96812496
1598,0.96931959
1599,0.97058298
1600,0.97182957
1601,0.97216666
1602,0.97242459
1603,0.97269081
1604,0.9729551
1605,0.97314226
1606,0.97326264
1607,0.97348637
1608,0.97383918
1609,0.97426578
1610,0.97468167
1611,0.9752499
1612,0.97590825
1613,0.97652778
1614,0.97717115
1615,0.9779596
1616,0.97862598
1617,0.97925254
1618,0.97997171
1619,0.98053468
1620,0.98066686
1621,0.98052406
1622,0.98014773
1623,0.97943843
1624,0.97860264
1625,0.97785102
1626,0.9771945
1627,0.97670457
1628,0.97665412
1629,0.97692083
1630,0.97748322
1631,0.97840401
1632,0.97968147
1633,0.98116691
1634,0.98269371
1635,0.98417096
1636,0.98534215
1637,0.98614892
1638,0.98653946
1639,0.98645353
1640,0.98599481
1641,0.9854034
1642,0.98487999
1643,0.98482401
1644,0.98586304
1645,0.98838709
1646,0.99233892
1647,0.99686144
1648,1.0
1649,0.99890651
1650,0.98939942
1651,0.96699115
1652,0.92592491
1653,0.86278449
1654,0.7798051
1655,0.67578927
1656,0.56128129
1657,0.45199074
1658,0.35755707
1659,0.27945258
1660,0.21417639
1661,0.16264243
1662,0.12500942
1663,0.09793582
1664,0.07944887
1665,0.06638356
1666,0.05752259
1667,0.05161343
1668,0.04723131
1669,0.0434974
1670,0.0396652
1671,0.03561429
1672,0.03151361
1673,0.02764066
1674,0.02426149
1675,0.02131578
1676,0.01895421
1677,0.01154581
1678,0.00920892
1679,0.00162424
