wavelength_nm,response
1332,0.00026044
1333,0.0003252
1334,0.00048756
1335,0.00067875
1336,0.00071417
1337,0.00075984
1338,0.00081968
1339,0.00089769
1340,0.00099754
1341,0.00113314
1342,0.00132908
1343,0.0016257
1344,0.0020886
1345,0.00283361
1346,0.00409002
1347,0.00627613
1348,0.01010195
1349,0.01666871
1350,0.02804925
1351,0.0483606
1352,0.08471358
1353,0.14744077
1354,0.24615548
1355,0.38400753
1356,0.5506481
1357,0.71650756
1358,0.84687174
1359,0.92563782
1360,0.96144356
1361,0.97431229
1362,0.9794882
1363,0.98373267
1364,0.98843476
1365,0.99279174
1366,0.99607391
1367,0.99821126
1368,0.99945001
1369,1.0
1370,0.99977872
1371,0.99857314
1372,0.99598798
1373,0.9918287
1374,0.98633299
1375,0.98014278
1376,0.97397991
1377,0.96843387
1378,0.96371994
1379,0.95964967
1380,0.95584476
1381,0.95183209
1382,0.94665225
1383,0.93823959
1384,0.92216388
1385,0.89032938
1386,0.83147486
1387,0.7372553
1388,0.61016429
1389,0.46717708
1390,0.33203097
1391,0.22098001
1392,0.13914288
1393,0.08423919
1394,0.05009349
1395,0.03005526
1396,0.01853395
1397,0.01182084
1398,0.00787375
1399,0.0054932
1400,0.00400834
1401,0.00304197
1402,0.00237922
1403,0.00190616
1404,0.00155911
1405,0.00130475
1406,0.00111814
1407,0.00098079
1408,0.00087894
1409,0.00080126
1410,0.00074234
1411,0.00041571
1412,0.00035204
1413,9.017e-05
