wavelength_nm,response
2066,0.00491468
2067,0.0049287
2068,0.02284368
2069,0.02287139
2070,0.04618013
2071,0.05020485
2072,0.05041886
2073,0.05065907
2074,0.05107736
2075,0.05166332
2076,0.05235439
2077,0.05331439
2078,0.05452316
2079,0.05587971
2080,0.05753624
2081,0.05963994
2082,0.06211299
2083,0.06507669
2084,0.06882476
2085,0.07330369
2086,0.07858385
2087,0.08498035
2088,0.09257479
2089,0.10155231
2090,0.11246838
2091,0.12622196
2092,0.14305696
2093,0.1639553
2094,0.1902652
2095,0.22224105
2096,0.26011569
2097,0.30418004
2098,0.35387323
2099,0.40828658
2100,0.46718282
2101,0.53102556
2102,0.59646538
2103,0.66149967
2104,0.72440634
2105,0.7805559
2106,0.8278946
2107,0.86594077
2108,0.89485059
2109,0.91587813
2110,0.93074947
2111,0.94125515
2112,0.94834667
2113,0.95279337
2114,0.95563448
2115,0.9573843
2116,0.95831147
2117,0.95888903
2118,0.95913621
2119,0.95910279
2120,0.95900464
2121,0.95869021
2122,0.9582207
2123,0.95765399
2124,0.9568598
2125,0.95611222
2126,0.95540176
2127,0.95470068
2128,0.95420658
2129,0.95381414
2130,0.95366864
2131,0.95391137
2132,0.95447601
2133,0.9555397
2134,0.95713459
2135,0.95915586
2136,0.9618524
2137,0.96503607
2138,0.96848853
2139,0.97220787
2140,0.97576852
2141,0.97917798
2142,0.98206554
2143,0.98396807
2144,0.9847819
2145,0.98440105
2146,0.98274956
2147,0.98028877
2148,0.97732548
2149,0.97416229
2150,0.9713524
2151,0.96933207
2152,0.96775723
2153,0.9670078
2154,0.96701721
2155,0.96828442
2156,0.97106594
2157,0.97515555
2158,0.98049808
2159,0.98661173
2160,0.99259589
2161,0.9976565
2162,1.0
2163,0.99750092
2164,0.98834845
2165,0.9725469
2166,0.95300687
2167,0.93424616
2168,0.91942468
2169,0.90913875
2170,0.902309
2171,0.89747559
2172,0.89417419
2173,0.89197277
2174,0.89018189
2175,0.88881285
2176,0.88780323
2177,0.88685497
2178,0.88611521
2179,0.8855185
2180,0.88487419
2181,0.88448655
2182,0.8839273
2183,0.88302094
2184,0.88178036
2185,0.88014279
2186,0.87817468
2187,0.87586099
2188,0.87308745
2189,0.869823
2190,0.86629526
2191,0.86322131
2192,0.85942917
2193,0.85490733
2194,0.84920106
2195,0.84270676
2196,0.83574059
2197,0.82825194
2198,0.82064911
2199,0.81318464
2200,0.80627161
2201,0.80277895
2202,0.79973187
2203,0.79712164
2204,0.7951416
2205,0.79435213
2206,0.79493809
2207,0.7971203
2208,0.80082713
2209,0.80596112
2210,0.81215075
2211,0.81781806
2212,0.82463822
2213,0.83281039
2214,0.84209158
2215,0.85227493
2216,0.86343742
2217,0.87536026
2218,0.88782312
2219,0.90093475
2220,0.91280586
2221,0.91656651
2222,0.92027848
2223,0.92394493
2224,0.92753146
2225,0.93103578
2226,0.93428831
2227,0.93718544
2228,0.93989844
2229,0.9422766
2230,0.94413556
2231,0.94462547
2232,0.9448792
2233,0.94491001
2234,0.944852
2235,0.94455846
2236,0.94400291
2237,0.94345767
2238,0.94274594
2239,0.94188922
2240,0.94145363
2241,0.94254033
2242,0.94353239
2243,0.94462287
2244,0.94556575
2245,0.94634069
2246,0.94721489
2247,0.94795525
2248,0.94850745
2249,0.94912423
2250,0.94951523
2251,0.94915923
2252,0.94894153
2253,0.94869317
2254,0.9483172
2255,0.94812241
2256,0.94812309
2257,0.94810193
2258,0.94847496
2259,0.94929163
2260,0.95017044
2261,0.95091393
2262,0.95237952
2263,0.95442068
2264,0.95722704
2265,0.96081936
2266,0.96469411
2267,0.96884393
2268,0.97303847
2269,0.97652527
2270,0.97903122
2271,0.97999097
2272,0.97802453
2273,0.9717036
2274,0.95972007
2275,0.94091133
2276,0.9147252
2277,0.88087509
2278,0.84003481
2279,0.79312287
2280,0.73848393
2281,0.6764585
2282,0.61189674
2283,0.54519835
2284,0.47846739
2285,0.41595172
2286,0.35952602
2287,0.3091425
2288,0.2655469
2289,0.22833152
2290,0.19521884
2291,0.16613364
2292,0.14161268
2293,0.12045777
2294,0.10231525
2295,0.08732284
2296,0.07506207
2297,0.06489148
2298,0.0564927
2299,0.04954752
2300,0.04346293
2301,0.03814457
2302,0.03364145
2303,0.02971716
2304,0.02632442
2305,0.02347993
2306,0.02110982
2307,0.01908479
2308,0.01739904
2309,0.01436833
2310,0.01324747
2311,0.00950016
2312,0.0016886
