wavelength_nm,response
761,8.338e-05
762,0.00077201
763,0.00107223
764,0.00114625
765,0.00124869
766,0.00139741
767,0.00158938
768,0.00187594
769,0.00220534
770,0.00262755
771,0.00323778
772,0.00406459
773,0.00525545
774,0.00680024
775,0.00894715
776,0.01220517
777,0.01704448
778,0.02459718
779,0.03562558
780,0.05251241
781,0.07984929
782,0.12295599
783,0.19027948
784,0.28071076
785,0.39922714
786,0.54181699
787,0.68895984
788,0.81635215
789,0.90139435
790,0.95313465
791,0.98153491
792,0.99496088
793,0.99928448
794,1.0
795,0.99800973
796,0.99396461
797,0.98962272
798,0.98303502
799,0.97755707
800,0.97092148
801,0.96101093
802,0.9505081
803,0.93879663
804,0.92748218
805,0.9152587
806,0.90309662
807,0.88941031
808,0.87676968
809,0.86487559
810,0.85277293
811,0.84133344
812,0.82876979
813,0.8168757
814,0.80611667
815,0.79445317
816,0.78354542
817,0.77240388
818,0.76251356
819,0.75349768
820,0.7455909
821,0.73659854
822,0.72816061
823,0.72088799
824,0.71630894
825,0.7119152
826,0.70810537
827,0.70491489
828,0.70188847
829,0.69973709
830,0.69760989
831,0.69593998
832,0.69430508
833,0.6932621
834,0.69319507
835,0.69301887
836,0.69419051
837,0.69601049
838,0.6980607
839,0.70060048
840,0.70311963
841,0.70296416
842,0.70307637
843,0.7015046
844,0.69857793
845,0.69473726
846,0.68921048
847,0.68287824
848,0.67538836
849,0.66811464
850,0.66069953
851,0.65288987
852,0.64633605
853,0.63925263
854,0.63414952
855,0.62887946
856,0.62366835
857,0.6193564
858,0.61390223
859,0.60928001
860,0.603645
861,0.59704178
862,0.59026599
863,0.58248911
864,0.5756726
865,0.56844931
866,0.56138222
867,0.55524414
868,0.54920369
869,0.54467674
870,0.54031352
871,0.53669054
872,0.53344616
873,0.53028999
874,0.52752822
875,0.52429785
876,0.52134072
877,0.51718626
878,0.51407011
879,0.50981659
880,0.50594674
881,0.50227966
882,0.49751059
883,0.49387689
884,0.4887999
885,0.48399474
886,0.47792815
887,0.47055638
888,0.46328494
889,0.45524392
890,0.44768769
891,0.44028313
892,0.43373732
893,0.42888174
894,0.42506552
895,0.41926121
896,0.40863167
897,0.38666811
898,0.34851253
899,0.30038685
900,0.24199315
901,0.18192754
902,0.12824652
903,0.08729955
904,0.06080955
905,0.04215443
906,0.02919419
907,0.02015859
908,0.0143241
909,0.01066705
910,0.00801799
911,0.00607097
912,0.00460358
913,0.00357797
914,0.00288335
915,0.00234352
916,0.00191144
917,0.0015565
918,0.0012932
919,0.00109601
920,0.00094644
921,0.00083153
922,0.00073356
923,0.00023968
