wavelength_nm,response
436,0.00581209
437,0.00561675
438,0.00557424
439,0.00534563
440,0.00519343
441,0.00505473
442,0.00494236
443,0.00497923
444,0.00477391
445,0.00455943
446,0.00434264
447,0.00425329
448,0.0041826
449,0.00414258
450,0.00416513
451,0.00431354
452,0.0051269
453,0.00924195
454,0.02788481
455,0.12563559
456,0.44773988
457,0.81587119
458,0.89685156
459,0.90598715
460,0.90248328
461,0.89398889
462,0.88482345
463,0.8807448
464,0.88621601
465,0.89958606
466,0.91520517
467,0.92750376
468,0.92882805
469,0.91691092
470,0.89617199
471,0.8731742
472,0.85491326
473,0.84697194
474,0.84924476
475,0.86172881
476,0.88542704
477,0.9176229
478,0.94690435
479,0.95926429
480,0.95391007
481,0.92337864
482,0.88171045
483,0.83866134
484,0.80524535
485,0.78493715
486,0.77924536
487,0.78802067
488,0.80572753
489,0.82344844
490,0.84001474
491,0.85656042
492,0.87375239
493,0.88755812
494,0.89387302
495,0.89424699
496,0.89155333
497,0.88904227
498,0.88976249
499,0.89547922
500,0.90888393
501,0.92653229
502,0.95068581
503,0.97270844
504,0.98090065
505,0.97426096
506,0.95520256
507,0.92673844
508,0.89490381
509,0.86749989
510,0.84860984
511,0.84236722
512,0.85160705
513,0.87296896
514,0.89834144
515,0.92553162
516,0.95565785
517,0.98479042
518,1.0
519,0.98624175
520,0.89786701
521,0.64665561
522,0.30800822
523,0.10709013
524,0.04095369
525,0.01825677
526,0.00928002
527,0.00529101
528,0.00348964
529,0.00263867
530,0.00215686
531,0.00187862
532,0.00167292
533,0.00156915
534,0.001526
535,0.00151066
536,0.00150558
537,0.00151593
538,0.00150779
539,0.00146935
540,0.00143544
541,0.00138739
542,0.00136549
543,0.00072317
