epoch,train_loss,val_loss
1,0.5496733483412991,0.20446552998489803
2,0.10476032693101012,0.061800036993291646
3,0.05260786632804767,0.042392223245567746
4,0.038681786669337234,0.03174400515854359
5,0.03002203118218028,0.0252539681063758
6,0.02475561636864491,0.021283859490520425
7,0.021573137633664453,0.01877884142514732
8,0.0194123440179164,0.017074448625660606
9,0.017690873441650816,0.015606996758530537
10,0.016136921091896038,0.014286704620139467
11,0.014639414715297196,0.013064782807810439
12,0.013270387152695785,0.01190184558638268
13,0.012070614348530122,0.011077191732409928
14,0.010959352518472335,0.010322404507961538
15,0.009982149916417573,0.009688007334868113
16,0.009121979698133857,0.009384764151440727
17,0.008456751289170074,0.009276116370326944
18,0.007931406083314316,0.008891709252364106
19,0.008036599104778597,0.009365472942590714
20,0.0073690373936425085,0.009033683532228073
21,0.007043624327153615,0.009065883182403114
22,0.0070382674305659275,0.008959943557985954
23,0.0067377135400538855,0.00930699318026503
24,0.006717847781660764,0.008842493614388837
25,0.006444678849378682,0.009075298310360976
