split,target,coefficient,n_rows,rmse,mae,r2,mape,smape
test,T_total,T_total,167640,0.02125300777406981,0.015503123692710685,0.9907620310184447,8213.94497943368,7.499217440449411
test,rho_path,rho_path,167640,0.0043014513406850535,0.0028459154675902674,0.9935806892676464,10.425934464637441,8.781711127004552
test,spher_alb,spher_alb,167640,0.009407287298699088,0.004599429974373037,0.9869105105013877,2326.937168016516,5.928408683725257
train,T_total,T_total,375791,0.008507851459680393,0.0054880308633868885,0.9984899485856071,7142.128998897795,4.512519504242114
train,rho_path,rho_path,375791,0.0015079691064632523,0.0009890518940083822,0.9988225827158144,8.375249010487838,6.606948687758309
train,spher_alb,spher_alb,375791,0.00971471701563953,0.0017866310328081467,0.9825581433533713,3051.9897863237616,4.4901481411521145
val,T_total,T_total,66291,0.00894907001465105,0.005687193391433235,0.9983260926884987,7850.6908521105015,4.558461641466886
val,rho_path,rho_path,66291,0.0015601091318402155,0.001009215797377769,0.9987272210764052,8.502600067551874,6.698937848786402
val,spher_alb,spher_alb,66291,0.0112429208498508,0.0018791468899498176,0.9765954943780442,3957.99544969803,4.613726460475802
