split,band,n_rows,n_elements,rmse,mae,r2,mape,smape,model,split_mode,fidelity_mode
test,B1,13847,41541,0.011881876074532656,0.0072063836442718575,0.9836775686533916,2.3334740866919725,2.3476831265733122,pkan,ood_aod_cwv,oracle_residual
test,B10,1476,4428,0.048194489914683065,0.01722286983326897,-54.97916257911578,398732.07239280164,123.41053430503473,pkan,ood_aod_cwv,oracle_residual
test,B11,13847,41541,0.007580695123121692,0.004702876162960408,0.9652948386342168,8.019743612501067,6.527058305616321,pkan,ood_aod_cwv,oracle_residual
test,B12,13847,41541,0.011479624654762422,0.005861807049103072,0.9141352176714858,12.212957339686598,10.72699054956785,pkan,ood_aod_cwv,oracle_residual
test,B2,13847,41541,0.012201415468820986,0.007426253799230247,0.9837762657885917,2.6180018426248988,2.6288752299298523,pkan,ood_aod_cwv,oracle_residual
test,B3,13847,41541,0.012857071879119311,0.007908733093070422,0.9808233678613695,3.006990023870763,3.020636676060753,pkan,ood_aod_cwv,oracle_residual
test,B4,13847,41541,0.013068267690188028,0.008118732110311907,0.9788916287073269,3.4430867208219738,3.4719737611447323,pkan,ood_aod_cwv,oracle_residual
test,B5,13847,41541,0.018040948860823296,0.01045143049037367,0.949096424113122,4.511922414810966,4.6337421451289424,pkan,ood_aod_cwv,oracle_residual
test,B6,13847,41541,0.011711215734446865,0.007302896803422196,0.9823749016163327,3.354541871821938,3.388409566980246,pkan,ood_aod_cwv,oracle_residual
test,B7,13847,41541,0.010672513613714607,0.0064461892745915055,0.98553971817437,3.002797270022178,3.0109313867308947,pkan,ood_aod_cwv,oracle_residual
test,B8,13847,41541,0.016143754762627166,0.00947728576677577,0.9672226570314103,3.985904708737076,4.052930827445113,pkan,ood_aod_cwv,oracle_residual
test,B8A,13847,41541,0.011165019660918166,0.006545637432962993,0.9836963543849214,3.2356863402976326,3.244272576273581,pkan,ood_aod_cwv,oracle_residual
test,B9,13847,41541,0.015160118094269192,0.009325190952089482,0.927819941217027,28.16590016846061,29.41820935773189,pkan,ood_aod_cwv,oracle_residual
train,B1,30731,92193,0.005935564309339532,0.0032723397486060625,0.9957007241615937,1.0917500248679828,1.0888888547455355,pkan,ood_aod_cwv,oracle_residual
train,B10,7019,21057,0.04089419482305477,0.010461408946664927,-10.618727237142513,181893.54982411128,113.63389493533049,pkan,ood_aod_cwv,oracle_residual
train,B11,30731,92193,0.003992717729993054,0.0024694188212059857,0.9857465397180355,7.719230861177871,6.452768443445178,pkan,ood_aod_cwv,oracle_residual
train,B12,30731,92193,0.0033677059396894516,0.0021095707431246927,0.9756978728073556,14.112206454737407,10.998864322305499,pkan,ood_aod_cwv,oracle_residual
train,B2,30731,92193,0.0052389655664933695,0.002756026897719201,0.9965741706688879,1.1225449534875298,1.11866144341045,pkan,ood_aod_cwv,oracle_residual
train,B3,30731,92193,0.005302588488038999,0.0029203633865087565,0.9962471816884267,1.3018116799386594,1.2954548510112822,pkan,ood_aod_cwv,oracle_residual
train,B4,30731,92193,0.004528543626578759,0.00233659075443318,0.9970343918826762,1.3044836492703409,1.2941334534808966,pkan,ood_aod_cwv,oracle_residual
train,B5,30731,92193,0.004892583586192189,0.002713282105835561,0.9964927244194751,1.58714272686938,1.5762014233934547,pkan,ood_aod_cwv,oracle_residual
train,B6,30731,92193,0.004265243844634802,0.002201911267434003,0.9972081546329958,1.4101675755803462,1.3966939318756837,pkan,ood_aod_cwv,oracle_residual
train,B7,30731,92193,0.004317322944771715,0.0022228339175794274,0.9971052481149276,1.5586191504872695,1.5422595295748769,pkan,ood_aod_cwv,oracle_residual
train,B8,30731,92193,0.004249789242310985,0.0022344607536741315,0.9969903960528351,1.6553602976351462,1.629611665614384,pkan,ood_aod_cwv,oracle_residual
train,B8A,30731,92193,0.0042884031991861395,0.00226044710392891,0.9966709763590914,1.8997564753057257,1.8599040096075043,pkan,ood_aod_cwv,oracle_residual
train,B9,30731,92193,0.008439930266856127,0.0037973580028668997,0.9876645785284106,7.246156480318564,7.4193142005089365,pkan,ood_aod_cwv,oracle_residual
val,B1,5422,16266,0.006440302985262836,0.0034122337995640514,0.995004363328094,1.1246945583450831,1.1222018520514507,pkan,ood_aod_cwv,oracle_residual
val,B10,1227,3681,0.04759384721287408,0.01215593475495995,-12.91934582220236,212627.97501039517,115.93526957586096,pkan,ood_aod_cwv,oracle_residual
val,B11,5422,16266,0.004086425648319847,0.00252679309293908,0.9853036933016327,7.649956886635491,6.490245963562488,pkan,ood_aod_cwv,oracle_residual
val,B12,5422,16266,0.0033941988422080674,0.002140553950403227,0.9745037303565863,14.18392679886865,11.34889254897185,pkan,ood_aod_cwv,oracle_residual
val,B2,5422,16266,0.005720478763567768,0.00289896494433784,0.9959411396860464,1.1587163983786881,1.1550864892010422,pkan,ood_aod_cwv,oracle_residual
val,B3,5422,16266,0.005734241201597206,0.0030513797636690884,0.9956252567979976,1.3322237312630292,1.3259483219732848,pkan,ood_aod_cwv,oracle_residual
val,B4,5422,16266,0.004919416532726717,0.0024472286067142683,0.9965215794209522,1.3252272634119802,1.3152629103093145,pkan,ood_aod_cwv,oracle_residual
val,B5,5422,16266,0.005119202973126823,0.0027436974759447344,0.996170679029056,1.589777770816029,1.5798654563232235,pkan,ood_aod_cwv,oracle_residual
