fidelity_mode,split_mode,model,split,target,rmse,mae,r2,mape,smape
oracle_residual,ood_aod_cwv,pkan,test,T_total,0.02125300777406981,0.015503123692710685,0.9907620310184447,8213.94497943368,7.499217440449411
oracle_residual,ood_aod_cwv,pkan,test,overall,0.013646609803674296,0.007649489711557997,0.9904177435958351,3517.1026939716107,7.40311241705974
oracle_residual,ood_aod_cwv,pkan,test,rho_path,0.0043014513406850535,0.0028459154675902674,0.9935806892676464,10.425934464637441,8.781711127004552
oracle_residual,ood_aod_cwv,pkan,test,spher_alb,0.009407287298699088,0.004599429974373037,0.9869105105013877,2326.937168016516,5.928408683725257
oracle_residual,ood_aod_cwv,pkan,train,T_total,0.008507851459680393,0.0054880308633868885,0.9984899485856071,7142.128998897795,4.512519504242114
oracle_residual,ood_aod_cwv,pkan,train,overall,0.007506291449621657,0.0027545712634011394,0.9932902248849302,3400.831344744016,5.203205444384178
oracle_residual,ood_aod_cwv,pkan,train,rho_path,0.0015079691064632523,0.0009890518940083822,0.9988225827158144,8.375249010487838,6.606948687758309
oracle_residual,ood_aod_cwv,pkan,train,spher_alb,0.00971471701563953,0.0017866310328081467,0.9825581433533713,3051.9897863237616,4.4901481411521145
oracle_residual,ood_aod_cwv,pkan,val,T_total,0.00894907001465105,0.005687193391433235,0.9983260926884987,7850.6908521105015,4.558461641466886
oracle_residual,ood_aod_cwv,pkan,val,overall,0.008345119609016752,0.0028585186929202732,0.9912162693809843,3939.0629672920286,5.290375316909697
oracle_residual,ood_aod_cwv,pkan,val,rho_path,0.0015601091318402155,0.001009215797377769,0.9987272210764052,8.502600067551874,6.698937848786402
oracle_residual,ood_aod_cwv,pkan,val,spher_alb,0.0112429208498508,0.0018791468899498176,0.9765954943780442,3957.99544969803,4.613726460475802
